id_venta;fecha_venta;id_empleado;antiguedad_vendedor;id_cliente;nombre_cliente;email_cliente;genero_cliente;edad_cliente;ciudad_cliente;region_cliente;canal_venta;producto;categoria_producto;precio_unitario;cantidad;descuento_pct
169;19/06/2023;58;1;14;David Javier Muñoz González;cliente14@mail.cl;Hombre;18.0;Puerto Montt;;Web;Maquillaje;Belleza;15000;3;
170;20/06/2023;1;8;93;Irma Espinoza Araya;cliente93@mail.cl;Mujer;29.0;Santiago;Región Metropolitana;Tienda;Zapatillas;Calzado;55000;2;0.1
171;21/06/2023;40;1;269;José Patricio Valenzuela Estay;cliente269@mail.cl;Mujer;32.0;Talcahuano;;Tienda;Smartphone;Tecnología;450000;3;0.05
172;22/06/2023;58;1;107;Fanny María Gómez Hernández;cliente107@mail.cl;Mujer;60.0;Puerto Montt;Los Lagos;Tienda;Notebook;;750000;3;
173;23/06/2023;56;2;40;Elizabeth Meléndez Pacheco;cliente40@mail.cl;Hombre;40.0;Talcahuano;;Web;Refrigerador;Electrohogar;800000;3;0.0
174;24/06/2023;13;0;163;Carlos David Miranda Cifuentes;cliente163@mail.cl;Hombre;51.0;Talcahuano;Biobío;Tienda;Polera;;12000;2;0.1
175;25/06/2023;11;0;171;Alejandra Vega;cliente171@mail.cl;Hombre;27.0;Antofagasta;;Web;Polera;Vestuario;12000;3;0.0
176;26/06/2023;3;1;243;Miguel Esteban Soto Silva;cliente243@mail.cl;Mujer;44.0;Valparaíso;;Tienda;Maquillaje;Belleza;15000;2;
177;27/06/2023;50;0;62;Raimundo Mario Rubilar Flores;cliente62@mail.cl;Mujer;35.0;Temuco;La Araucanía;Tienda;Polera;Vestuario;12000;2;0.1
178;28/06/2023;46;5;12;Agustina Rosa Rojas Pastén;cliente12@mail.cl;Mujer;32.0;La Serena;;Web;Polera;Vestuario;12000;2;0.1
179;29/06/2023;19;5;32;Carol Antonia Sandoval Chávez;cliente32@mail.cl;Mujer;60.0;Temuco;La Araucanía;Tienda;Refrigerador;Electrohogar;800000;3;0.1
180;30/06/2023;8;1;167;Matilda Denisse Gatica Gutiérrez;cliente167@mail.cl;Mujer;47.0;Puerto Montt;Los Lagos;Web;TV;;650000;3;0.0
181;01/07/2023;54;9;191;Claudio Rodrigo Mancilla Sáez;cliente191@mail.cl;Mujer;32.0;Talcahuano;Biobío;Tienda;Smartphone;Tecnología;450000;3;0.0
182;02/07/2023;44;7;177;Benjamín Claudio Riffo Cid;cliente177@mail.cl;Mujer;38.0;Antofagasta;Antofagasta;Tienda;Lavadora;Electrohogar;700000;3;0.05
183;03/07/2023;24;3;229;Elsa Llanos;cliente229@mail.cl;Hombre;29.0;La Serena;Coquimbo;App;Maquillaje;;15000;3;
184;04/07/2023;14;0;92;Belén Gamboa Carvajal;cliente92@mail.cl;Mujer;49.0;Santiago;;App;Polera;Vestuario;12000;3;0.0
185;05/07/2023;64;4;33;Jocelyn Gabriela López Guzmán;cliente33@mail.cl;Hombre;37.0;Temuco;;Tienda;Pantalón;;25000;1;
186;06/07/2023;24;3;51;Milagros Marisol Tapia Rubio;cliente51@mail.cl;Hombre;;La Serena;Coquimbo;App;Pantalón;Vestuario;25000;2;0.0
187;07/07/2023;21;5;70;Bárbara Torres;cliente70@mail.cl;Mujer;30.0;Puerto Montt;Los Lagos;Tienda;Polera;Vestuario;12000;3;
188;08/07/2023;5;1;104;María Anahí Mella Carrasco;cliente104@mail.cl;Mujer;28.0;Talcahuano;;Web;Refrigerador;Electrohogar;800000;2;0.1
189;09/07/2023;37;1;188;Felipe Cofré Molina;cliente188@mail.cl;Mujer;37.0;Viña del Mar;;Web;Refrigerador;Electrohogar;800000;3;0.1
190;10/07/2023;24;3;166;Sergio Carlos Pavez Díaz;cliente166@mail.cl;Mujer;42.0;La Serena;Coquimbo;Web;Lavadora;Electrohogar;700000;2;0.1
191;11/07/2023;29;1;144;Rolando Patricio Muñoz Barría;cliente144@mail.cl;Mujer;40.0;Viña del Mar;Valparaíso;Tienda;Pantalón;Vestuario;25000;2;0.05
192;12/07/2023;27;4;231;Tomás Johan Vargas Leiva;cliente231@mail.cl;Hombre;29.0;Viña del Mar;;Tienda;TV;;650000;3;0.1
193;13/07/2023;25;3;271;Ana Varela López;cliente271@mail.cl;Mujer;55.0;Puerto Montt;;Web;Zapatillas;Calzado;55000;2;
194;14/07/2023;26;6;13;Samuel Arias Gatica;cliente13@mail.cl;Mujer;40.0;Rancagua;O'Higgins;Tienda;Notebook;Tecnología;750000;2;0.0
195;15/07/2023;30;0;159;Patricio Luis Guzmán Herrera;cliente159@mail.cl;Mujer;;Valparaíso;Valparaíso;App;Zapatillas;;55000;2;0.1
196;16/07/2023;31;4;176;Arturo Ángel Corvalán Salazar;cliente176@mail.cl;Mujer;47.0;Rancagua;;Web;TV;Electrohogar;650000;2;0.1
197;17/07/2023;35;1;253;Luis Franco Barros Hermosilla;cliente253@mail.cl;Hombre;;Antofagasta;;Web;Polera;Vestuario;12000;1;0.05
198;18/07/2023;68;2;26;Felipe Daniel González Salinas;cliente26@mail.cl;Mujer;39.0;Santiago;Región Metropolitana;Web;Maquillaje;Belleza;15000;1;0.0
199;19/07/2023;16;3;211;Patricio Gonzalo Toledo Arce;cliente211@mail.cl;Hombre;44.0;Temuco;;Web;Smartphone;Tecnología;450000;3;0.05
200;20/07/2023;68;2;195;Isaac Gutiérrez;cliente195@mail.cl;Mujer;40.0;Santiago;Región Metropolitana;App;Maquillaje;;15000;3;
201;21/07/2023;3;1;231;Tomás Johan Vargas Leiva;cliente231@mail.cl;Hombre;29.0;Valparaíso;Valparaíso;Tienda;TV;Electrohogar;650000;2;0.1
202;22/07/2023;37;1;213;Germán Bustamante Valenzuela;cliente213@mail.cl;Mujer;49.0;Viña del Mar;Valparaíso;App;Zapatillas;Calzado;55000;1;0.05
203;23/07/2023;8;1;148;Víctor Alejandro Ramírez Soto;cliente148@mail.cl;Hombre;22.0;Puerto Montt;Los Lagos;Tienda;Refrigerador;Electrohogar;800000;1;0.05
204;24/07/2023;40;1;36;Josefa Plaza;cliente36@mail.cl;Mujer;23.0;Talcahuano;Biobío;Web;Smartphone;;450000;1;
205;25/07/2023;18;1;266;Claudio Fernando Morales Bravo;cliente266@mail.cl;Mujer;23.0;Talcahuano;;Tienda;TV;Electrohogar;650000;2;0.0
206;26/07/2023;60;1;46;Leonor María Romero Fuentes;cliente46@mail.cl;Mujer;29.0;Valparaíso;;Tienda;Maquillaje;Belleza;15000;2;0.1
207;27/07/2023;48;6;129;Alejandra Castro Torres;cliente129@mail.cl;Mujer;39.0;Valparaíso;Valparaíso;App;TV;Electrohogar;650000;2;0.05
208;28/07/2023;39;6;58;Rossana Flores;cliente58@mail.cl;Hombre;34.0;Antofagasta;Antofagasta;Tienda;Refrigerador;;800000;1;0.1
209;29/07/2023;45;2;182;Pedro Jorge Cartes Pérez;cliente182@mail.cl;Hombre;27.0;Talcahuano;Biobío;Web;Polera;Vestuario;12000;3;0.05
210;30/07/2023;54;9;69;Raquel Silva Méndez;cliente69@mail.cl;Mujer;42.0;Talcahuano;Biobío;App;Maquillaje;Belleza;15000;3;0.05
211;31/07/2023;57;3;273;Fernanda Pérez Calderón;cliente273@mail.cl;Mujer;51.0;Concepción;Biobío;Tienda;Polera;Vestuario;12000;2;
212;01/08/2023;19;5;22;Laura Aguilera Orellana;cliente22@mail.cl;Hombre;35.0;Temuco;;Tienda;Refrigerador;Electrohogar;800000;1;0.05
213;02/08/2023;13;0;63;Geraldine Irma Álvarez Díaz;cliente63@mail.cl;Mujer;24.0;Talcahuano;Biobío;Tienda;Polera;Vestuario;12000;1;0.1
214;03/08/2023;18;1;51;Milagros Marisol Tapia Rubio;cliente51@mail.cl;Hombre;;Talcahuano;;Tienda;Smartphone;Tecnología;450000;2;0.1
215;04/08/2023;65;0;25;Lissette Susan Mella Sánchez;cliente25@mail.cl;Mujer;31.0;Rancagua;O'Higgins;Tienda;Lavadora;;700000;3;0.1
216;05/08/2023;64;4;46;Leonor María Romero Fuentes;cliente46@mail.cl;Mujer;29.0;Temuco;;App;Pantalón;;25000;2;0.05
217;06/08/2023;31;4;147;Alfredo Vega;cliente147@mail.cl;Mujer;23.0;Rancagua;O'Higgins;Tienda;Smartphone;Tecnología;450000;3;0.1
218;07/08/2023;28;5;164;Samuel Arias;cliente164@mail.cl;Mujer;28.0;Viña del Mar;Valparaíso;Web;Perfume;Belleza;35000;2;0.05
219;08/08/2023;39;6;215;Vicente Juan Cáceres Castillo;cliente215@mail.cl;Hombre;34.0;Antofagasta;Antofagasta;Web;Pantalón;Vestuario;25000;2;0.1
220;09/08/2023;35;1;41;Romina Cruz;cliente41@mail.cl;Mujer;46.0;Antofagasta;Antofagasta;Web;Smartphone;Tecnología;450000;3;0.05
221;10/08/2023;33;13;50;Jorge Joaquín Sánchez Leiva;cliente50@mail.cl;Hombre;18.0;Rancagua;O'Higgins;Web;Pantalón;Vestuario;25000;1;
222;11/08/2023;64;4;66;Samuel Aguilera;cliente66@mail.cl;Hombre;54.0;Temuco;La Araucanía;Web;Refrigerador;;800000;3;0.0
223;12/08/2023;13;0;151;Cecilia Edith Muñoz Toro;cliente151@mail.cl;Hombre;41.0;Talcahuano;Biobío;Tienda;Maquillaje;Belleza;15000;1;0.05
224;13/08/2023;44;7;169;Antonella Julia Urrutia Oyarzo;cliente169@mail.cl;Mujer;35.0;Antofagasta;;Tienda;Polera;Vestuario;12000;1;0.05
225;14/08/2023;25;3;35;Melania Jessica Urrutia Palacios;cliente35@mail.cl;Mujer;47.0;Puerto Montt;Los Lagos;Web;Lavadora;Electrohogar;700000;2;0.0
226;15/08/2023;63;5;12;Agustina Rosa Rojas Pastén;cliente12@mail.cl;Mujer;32.0;Rancagua;;Web;TV;Electrohogar;650000;3;0.0
227;16/08/2023;49;1;187;Luis Guillermo Muñoz Cerda;cliente187@mail.cl;Mujer;43.0;Antofagasta;Antofagasta;Tienda;Refrigerador;Electrohogar;800000;3;0.0
228;17/08/2023;4;3;72;Luis Gabriel Barrera Castillo;cliente72@mail.cl;Hombre;56.0;Concepción;;App;Smartphone;;450000;1;0.0
229;18/08/2023;68;2;237;Carlos Pérez;cliente237@mail.cl;Hombre;18.0;Santiago;Región Metropolitana;Tienda;Maquillaje;Belleza;15000;1;0.0
230;19/08/2023;6;2;155;Gonzalo Felipe Martínez Acevedo;cliente155@mail.cl;Mujer;41.0;Concepción;;Web;TV;Electrohogar;650000;1;
231;20/08/2023;66;2;279;Osvaldo Víctor Rivera Palma;cliente279@mail.cl;Mujer;38.0;Talcahuano;Biobío;App;Notebook;;750000;2;
232;21/08/2023;31;4;52;Susana María Soto Véliz;cliente52@mail.cl;Hombre;33.0;Rancagua;O'Higgins;Tienda;Perfume;Belleza;35000;3;0.05
233;22/08/2023;43;0;44;Humberto José Rivera Leiva;cliente44@mail.cl;Hombre;34.0;Santiago;;Web;Notebook;;750000;1;0.0
234;23/08/2023;25;3;131;Juan Rodríguez Acevedo;cliente131@mail.cl;Hombre;19.0;Puerto Montt;Los Lagos;App;Maquillaje;Belleza;15000;3;
235;24/08/2023;17;0;209;Eduardo Castro Rivera;cliente209@mail.cl;Hombre;44.0;Santiago;;Tienda;Refrigerador;;800000;2;0.05
236;25/08/2023;65;0;259;José Ángel Fuentes Gutiérrez;cliente259@mail.cl;Mujer;43.0;Rancagua;;Tienda;Perfume;Belleza;35000;3;0.0
237;26/08/2023;42;4;176;Arturo Ángel Corvalán Salazar;cliente176@mail.cl;Mujer;47.0;Talcahuano;;Tienda;Pantalón;;25000;1;
238;27/08/2023;1;8;239;Lidia Tapia;cliente239@mail.cl;Mujer;30.0;Santiago;Región Metropolitana;Web;Lavadora;;700000;1;
239;28/08/2023;28;5;189;Gloria Lidia García Toledo;cliente189@mail.cl;Mujer;27.0;Viña del Mar;;Tienda;TV;;650000;1;0.05
240;29/08/2023;52;0;16;Andrés Díaz Ortega;cliente16@mail.cl;Mujer;31.0;Talcahuano;Biobío;Tienda;Refrigerador;;800000;3;0.1
241;30/08/2023;46;5;269;José Patricio Valenzuela Estay;cliente269@mail.cl;Mujer;32.0;La Serena;Coquimbo;Web;Lavadora;Electrohogar;700000;2;0.05
242;31/08/2023;64;4;164;Samuel Arias;cliente164@mail.cl;Mujer;28.0;Temuco;La Araucanía;Web;Zapatillas;Calzado;55000;3;0.05
243;01/09/2023;67;0;102;Vania Evelyn Leyton García;cliente102@mail.cl;Hombre;32.0;Talcahuano;;App;Smartphone;;450000;3;0.05
244;02/09/2023;7;8;53;Eduardo Manuel Morales Riffo;cliente53@mail.cl;Mujer;29.0;Valparaíso;Valparaíso;Tienda;Smartphone;;450000;2;
245;03/09/2023;65;0;17;Bastián Kevin Oñate Toledo;cliente17@mail.cl;Mujer;25.0;Rancagua;;Tienda;Refrigerador;Electrohogar;800000;1;0.1
246;04/09/2023;60;1;142;Hilda Javiera Cofré Lucero;cliente142@mail.cl;Hombre;53.0;Valparaíso;;App;Smartphone;Tecnología;450000;1;0.05
247;05/09/2023;61;3;8;Angelo Juan Vivanco Escobar;cliente8@mail.cl;Mujer;47.0;Concepción;Biobío;Tienda;Zapatillas;;55000;2;0.0
248;06/09/2023;49;1;63;Geraldine Irma Álvarez Díaz;cliente63@mail.cl;Mujer;24.0;Antofagasta;Antofagasta;Web;Refrigerador;Electrohogar;800000;3;0.05
249;07/09/2023;25;3;7;Daniela Francisca Palacios Allendes;cliente7@mail.cl;Hombre;56.0;Puerto Montt;;App;Smartphone;;450000;3;0.0
250;08/09/2023;55;9;114;Anahí Araya;cliente114@mail.cl;Mujer;67.0;Antofagasta;Antofagasta;App;TV;;650000;3;0.05
251;09/09/2023;58;1;258;Edith Uberlinda Jiménez Valenzuela;cliente258@mail.cl;Mujer;29.0;Puerto Montt;;Web;Maquillaje;Belleza;15000;3;0.0
252;10/09/2023;43;0;132;Jorge Rafael Riquelme Vargas;cliente132@mail.cl;Mujer;38.0;Santiago;Región Metropolitana;Tienda;Perfume;Belleza;35000;2;0.05
253;11/09/2023;70;6;21;Alexis Juan Contreras Vega;cliente21@mail.cl;Hombre;55.0;Talcahuano;;Tienda;Notebook;Tecnología;750000;1;0.05
254;12/09/2023;28;5;272;Alison Araya-Millán;cliente272@mail.cl;Hombre;20.0;Viña del Mar;Valparaíso;App;Perfume;Belleza;35000;1;0.05
255;13/09/2023;60;1;122;Carlos Aranda-Ortiz;cliente122@mail.cl;Mujer;27.0;Valparaíso;Valparaíso;Tienda;Smartphone;Tecnología;450000;2;
256;14/09/2023;6;2;38;Christian Francisco Rojas Oyarzo;cliente38@mail.cl;Hombre;18.0;Concepción;Biobío;App;TV;;650000;2;0.1
257;15/09/2023;7;8;243;Miguel Esteban Soto Silva;cliente243@mail.cl;Mujer;44.0;Valparaíso;Valparaíso;Tienda;Refrigerador;Electrohogar;800000;3;
258;16/09/2023;70;6;102;Vania Evelyn Leyton García;cliente102@mail.cl;Hombre;32.0;Talcahuano;Biobío;Web;Notebook;;750000;2;0.0
259;17/09/2023;7;8;197;Constanza Seguel Morales;cliente197@mail.cl;Mujer;27.0;Valparaíso;Valparaíso;Web;Lavadora;Electrohogar;700000;1;0.1
260;18/09/2023;28;5;91;María Ávalos Vergara;cliente91@mail.cl;Hombre;39.0;Viña del Mar;Valparaíso;Web;Refrigerador;Electrohogar;800000;2;0.1
261;19/09/2023;3;1;108;Gonzalo Jorge Muñoz Reyes;cliente108@mail.cl;Hombre;40.0;Valparaíso;;Web;Polera;;12000;3;0.05
262;20/09/2023;62;4;70;Bárbara Torres;cliente70@mail.cl;Mujer;30.0;Puerto Montt;Los Lagos;App;TV;Electrohogar;650000;2;0.1
263;21/09/2023;67;0;118;Juana Morales Novoa;cliente118@mail.cl;Mujer;23.0;Talcahuano;Biobío;Web;TV;Electrohogar;650000;2;
264;22/09/2023;40;1;192;Olga Agustina Rojas Rodríguez;cliente192@mail.cl;Mujer;;Talcahuano;Biobío;App;Polera;;12000;1;
265;23/09/2023;19;5;192;Olga Agustina Rojas Rodríguez;cliente192@mail.cl;Mujer;;Temuco;La Araucanía;Tienda;Polera;Vestuario;12000;3;0.0
266;24/09/2023;18;1;76;Benjamín Fernando Olea Retamal;cliente76@mail.cl;Hombre;47.0;Talcahuano;;Web;Refrigerador;Electrohogar;800000;3;0.0
267;25/09/2023;66;2;139;Mario Fonseca;cliente139@mail.cl;Hombre;47.0;Talcahuano;Biobío;Tienda;Maquillaje;Belleza;15000;1;0.0
268;26/09/2023;58;1;60;Bárbara Molina Aranda;cliente60@mail.cl;Hombre;49.0;Puerto Montt;;Tienda;Polera;Vestuario;12000;2;0.0
269;27/09/2023;55;9;118;Juana Morales Novoa;cliente118@mail.cl;Mujer;23.0;Antofagasta;Antofagasta;App;Lavadora;Electrohogar;700000;2;
270;28/09/2023;13;0;144;Rolando Patricio Muñoz Barría;cliente144@mail.cl;Mujer;40.0;Talcahuano;;Web;Maquillaje;Belleza;15000;1;0.0
271;29/09/2023;30;0;74;Gloria Urra Ramos;cliente74@mail.cl;Hombre;56.0;Valparaíso;Valparaíso;App;Refrigerador;Electrohogar;800000;2;0.0
272;30/09/2023;28;5;269;José Patricio Valenzuela Estay;cliente269@mail.cl;Mujer;32.0;Viña del Mar;Valparaíso;Web;Refrigerador;Electrohogar;800000;1;0.0
273;01/10/2023;45;2;267;Angélica Reyes;cliente267@mail.cl;Mujer;57.0;Talcahuano;Biobío;Tienda;Perfume;;35000;3;0.1
274;02/10/2023;34;1;269;José Patricio Valenzuela Estay;cliente269@mail.cl;Mujer;32.0;Concepción;;Tienda;Notebook;;750000;2;
275;03/10/2023;24;3;119;Luis Víctor Garrido Cortés;cliente119@mail.cl;Hombre;51.0;La Serena;Coquimbo;Tienda;TV;Electrohogar;650000;1;0.1
276;04/10/2023;23;0;67;Francisca Valenzuela Pavez;cliente67@mail.cl;Hombre;37.0;Concepción;Biobío;Tienda;Perfume;Belleza;35000;1;0.0
277;05/10/2023;55;9;186;Laura Mary Sánchez Quintanilla;cliente186@mail.cl;Mujer;46.0;Antofagasta;;Tienda;Smartphone;Tecnología;450000;1;0.0
278;06/10/2023;57;3;264;Alejandra Navarro;cliente264@mail.cl;Mujer;25.0;Concepción;;Tienda;Polera;Vestuario;12000;3;0.1
279;07/10/2023;30;0;132;Jorge Rafael Riquelme Vargas;cliente132@mail.cl;Mujer;38.0;Valparaíso;Valparaíso;Tienda;Lavadora;Electrohogar;700000;3;0.0
280;08/10/2023;28;5;65;Manuel Rodríguez;cliente65@mail.cl;Hombre;47.0;Viña del Mar;;Tienda;Pantalón;Vestuario;25000;3;
281;09/10/2023;54;9;241;Gloria Leyton;cliente241@mail.cl;Mujer;28.0;Talcahuano;;Web;Zapatillas;;55000;2;0.0
282;10/10/2023;65;0;228;Eladio Sandro Gaete Salazar;cliente228@mail.cl;Mujer;25.0;Rancagua;O'Higgins;Tienda;Polera;;12000;1;0.05
283;11/10/2023;41;4;138;John Alvarado Albornoz;cliente138@mail.cl;Mujer;34.0;Antofagasta;Antofagasta;Web;Smartphone;;450000;3;0.05
284;12/10/2023;1;8;196;Darwin Ramón Saavedra Pino;cliente196@mail.cl;Hombre;42.0;Santiago;;Tienda;Lavadora;Electrohogar;700000;2;
285;13/10/2023;60;1;135;Sergio Guerrero Salazar;cliente135@mail.cl;Mujer;26.0;Valparaíso;Valparaíso;Web;Polera;Vestuario;12000;1;0.1
286;14/10/2023;24;3;128;María Soto Castillo;cliente128@mail.cl;Mujer;31.0;La Serena;;Tienda;Maquillaje;;15000;1;0.1
287;15/10/2023;17;0;107;Fanny María Gómez Hernández;cliente107@mail.cl;Mujer;60.0;Santiago;Región Metropolitana;Tienda;Lavadora;;700000;2;0.0
288;16/10/2023;50;0;73;María Bravo Vásquez;cliente73@mail.cl;Mujer;37.0;Temuco;La Araucanía;Web;Zapatillas;Calzado;55000;1;0.1
289;17/10/2023;62;4;225;Berta Huerta García;cliente225@mail.cl;Hombre;32.0;Puerto Montt;Los Lagos;Web;Refrigerador;Electrohogar;800000;3;
290;18/10/2023;58;1;213;Germán Bustamante Valenzuela;cliente213@mail.cl;Mujer;49.0;Puerto Montt;Los Lagos;App;Perfume;;35000;1;0.0
291;19/10/2023;21;5;271;Ana Varela López;cliente271@mail.cl;Mujer;55.0;Puerto Montt;;App;Perfume;;35000;3;0.05
292;20/10/2023;62;4;3;Fernanda Carmen Mora Guerrero;cliente3@mail.cl;Hombre;45.0;Puerto Montt;;Web;Smartphone;;450000;1;0.1
293;21/10/2023;20;0;272;Alison Araya-Millán;cliente272@mail.cl;Hombre;20.0;Temuco;;Tienda;TV;;650000;1;0.0
294;22/10/2023;36;4;237;Carlos Pérez;cliente237@mail.cl;Hombre;18.0;Rancagua;O'Higgins;Tienda;Polera;Vestuario;12000;3;
295;23/10/2023;1;8;251;Luis Cisternas Apablaza;cliente251@mail.cl;Hombre;22.0;Santiago;Metropolitana;App;Perfume;Belleza;35000;2;
296;24/10/2023;4;3;214;Carlos Valdés Muñoz;cliente214@mail.cl;Hombre;45.0;Concepción;;Tienda;Maquillaje;;15000;1;0.05
297;25/10/2023;6;2;223;Cristian Marambio Reyes;cliente223@mail.cl;Hombre;46.0;Concepción;Biobío;Web;Lavadora;Electrohogar;700000;1;0.05
298;26/10/2023;4;3;109;Lucas Miguel San Martín Catalán;cliente109@mail.cl;Hombre;41.0;Concepción;;Tienda;Zapatillas;Calzado;55000;1;0.05
299;27/10/2023;5;1;17;Bastián Kevin Oñate Toledo;cliente17@mail.cl;Mujer;25.0;Talcahuano;;Tienda;Smartphone;;450000;1;0.1
300;28/10/2023;58;1;75;Máximo Pablo Leal Romero;cliente75@mail.cl;Hombre;18.0;Puerto Montt;Los Lagos;Tienda;Zapatillas;Calzado;55000;2;0.05
301;29/10/2023;62;4;5;Marina Carolina Palacios Araneda;cliente5@mail.cl;Hombre;35.0;Puerto Montt;;App;TV;;650000;2;0.1
302;30/10/2023;61;3;138;John Alvarado Albornoz;cliente138@mail.cl;Mujer;34.0;Concepción;;Web;Lavadora;Electrohogar;700000;2;0.1
303;31/10/2023;52;0;202;Héctor Ramírez;cliente202@mail.cl;Mujer;44.0;Talcahuano;Biobío;Web;Smartphone;Tecnología;450000;3;0.05
304;01/11/2023;63;5;117;Rubén Castillo;cliente117@mail.cl;Mujer;;Rancagua;;Web;Zapatillas;Calzado;55000;1;
305;02/11/2023;6;2;86;Rudecindo Cares;cliente86@mail.cl;Hombre;31.0;Concepción;;Web;Notebook;;750000;2;0.1
306;03/11/2023;30;0;237;Carlos Pérez;cliente237@mail.cl;Hombre;18.0;Valparaíso;Valparaíso;Web;TV;Electrohogar;650000;2;
307;04/11/2023;64;4;149;Olivia Pino Pizarro;cliente149@mail.cl;Mujer;44.0;Temuco;La Araucanía;App;Zapatillas;;55000;1;0.05
308;05/11/2023;48;6;47;Javier Diego Navarrete Peña;cliente47@mail.cl;Hombre;32.0;Valparaíso;Valparaíso;Tienda;Lavadora;;700000;3;0.0
309;06/11/2023;40;1;191;Claudio Rodrigo Mancilla Sáez;cliente191@mail.cl;Mujer;32.0;Talcahuano;Biobío;Web;TV;;650000;2;0.0
310;07/11/2023;62;4;69;Raquel Silva Méndez;cliente69@mail.cl;Mujer;42.0;Puerto Montt;Los Lagos;App;Smartphone;;450000;2;0.05
311;08/11/2023;61;3;244;Amparo Javiera Rodríguez Contreras;cliente244@mail.cl;Hombre;48.0;Concepción;Biobío;Tienda;Zapatillas;Calzado;55000;2;0.0
312;09/11/2023;53;1;168;Sergio Carlos Cerda-Reyes Toledo;cliente168@mail.cl;Hombre;60.0;Puerto Montt;Los Lagos;Web;TV;Electrohogar;650000;2;
313;10/11/2023;34;1;82;Noelia Lizama;cliente82@mail.cl;Hombre;;Concepción;;Tienda;Refrigerador;Electrohogar;800000;3;0.0
314;11/11/2023;2;2;180;Gisela Carol Ávila Suárez;cliente180@mail.cl;Hombre;70.0;Rancagua;O'Higgins;Tienda;Perfume;Belleza;35000;2;0.05
315;12/11/2023;17;0;192;Olga Agustina Rojas Rodríguez;cliente192@mail.cl;Mujer;;Santiago;Región Metropolitana;Tienda;Lavadora;;700000;2;
316;13/11/2023;35;1;106;Mariela Urzúa Moreno;cliente106@mail.cl;Hombre;42.0;Antofagasta;;App;Perfume;;35000;3;0.05
317;14/11/2023;29;1;249;María Sofía Morales Arellano;cliente249@mail.cl;Mujer;59.0;Viña del Mar;;App;TV;Electrohogar;650000;3;0.05
318;15/11/2023;43;0;219;Víctor Matamala;cliente219@mail.cl;Mujer;32.0;Santiago;Región Metropolitana;Tienda;Notebook;;750000;1;0.0
319;16/11/2023;10;7;244;Amparo Javiera Rodríguez Contreras;cliente244@mail.cl;Hombre;48.0;Valparaíso;;Tienda;Polera;;12000;1;
320;17/11/2023;20;0;138;John Alvarado Albornoz;cliente138@mail.cl;Mujer;34.0;Temuco;La Araucanía;App;Notebook;Tecnología;750000;3;
321;18/11/2023;25;3;191;Claudio Rodrigo Mancilla Sáez;cliente191@mail.cl;Mujer;32.0;Puerto Montt;;Tienda;Notebook;;750000;3;0.0
322;19/11/2023;41;4;135;Sergio Guerrero Salazar;cliente135@mail.cl;Mujer;26.0;Antofagasta;Antofagasta;Tienda;Maquillaje;Belleza;15000;3;0.05
323;20/11/2023;30;0;153;Esteban Cárdenas Silva;cliente153@mail.cl;Hombre;29.0;Valparaíso;Valparaíso;Tienda;Pantalón;Vestuario;25000;2;
324;21/11/2023;17;0;61;Ingrid María Velásquez Herrera;cliente61@mail.cl;Mujer;32.0;Santiago;Metropolitana;App;TV;;650000;3;
325;22/11/2023;22;1;86;Rudecindo Cares;cliente86@mail.cl;Hombre;31.0;Viña del Mar;;Web;Smartphone;Tecnología;450000;1;
326;23/11/2023;54;9;44;Humberto José Rivera Leiva;cliente44@mail.cl;Hombre;34.0;Talcahuano;Biobío;App;Lavadora;;700000;1;0.05
327;24/11/2023;46;5;228;Eladio Sandro Gaete Salazar;cliente228@mail.cl;Mujer;25.0;La Serena;Coquimbo;App;Zapatillas;Calzado;55000;1;0.0
328;25/11/2023;2;2;259;José Ángel Fuentes Gutiérrez;cliente259@mail.cl;Mujer;43.0;Rancagua;;Tienda;Refrigerador;;800000;2;0.0
329;26/11/2023;57;3;111;Hernán Benjamín Lira González;cliente111@mail.cl;Mujer;18.0;Concepción;Biobío;Tienda;Zapatillas;Calzado;55000;3;0.1
330;27/11/2023;46;5;54;Franco Espinosa;cliente54@mail.cl;Mujer;45.0;La Serena;;App;Lavadora;;700000;1;0.1
331;28/11/2023;62;4;179;Bárbara Valeria Vergara Solar;cliente179@mail.cl;Hombre;34.0;Puerto Montt;Los Lagos;Tienda;Notebook;Tecnología;750000;3;0.1
332;29/11/2023;20;0;49;Belén Ruth Mansilla Caro;cliente49@mail.cl;Hombre;42.0;Temuco;La Araucanía;App;Lavadora;Electrohogar;700000;2;0.0
333;30/11/2023;35;1;105;Claudio Diego Cisterna Rojas;cliente105@mail.cl;Hombre;36.0;Antofagasta;;Tienda;Pantalón;;25000;3;0.05
334;01/12/2023;20;0;98;Lucas Álvaro Acevedo Agurto;cliente98@mail.cl;Hombre;41.0;Temuco;;Tienda;Refrigerador;Electrohogar;800000;3;
335;02/12/2023;40;1;75;Máximo Pablo Leal Romero;cliente75@mail.cl;Hombre;18.0;Talcahuano;;Tienda;Smartphone;Tecnología;450000;3;0.05
336;03/12/2023;37;1;122;Carlos Aranda-Ortiz;cliente122@mail.cl;Mujer;27.0;Viña del Mar;;Web;Refrigerador;;800000;1;0.1
337;04/12/2023;26;6;191;Claudio Rodrigo Mancilla Sáez;cliente191@mail.cl;Mujer;32.0;Rancagua;O'Higgins;Web;TV;Electrohogar;650000;1;
